Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,What does AND require?,One condition true,Both conditions true,Opposite values,Loop,Both conditions true
9,Coding & Logic,Patterns,Easy,"What comes next? 2, 4, 6, 8, ___",9,10,12,14,10
9,Coding & Logic,Debugging,Easy,Why do programmers test code?,To slow programs,To find errors,To add bugs,To delete data,To find errors
9,Coding & Logic,Programming Basics,Easy,What does a variable store?,Instructions,Values,Errors,Loops,Values
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
9,Coding & Logic,Patterns,Easy,What comes next? ▲ ■ ▲ ■ ▲ ___,■,▲,●,◆,■
9,Coding & Logic,Debugging,Easy,What is a syntax error?,Logic mistake,Rule violation,Hardware issue,Design step,Rule violation
9,Coding & Logic,Programming Basics,Easy,What is an example of an input?,Screen output,Keyboard entry,Printed result,Error message,Keyboard entry
9,Coding & Logic,Logic,Easy,"If a condition is true, which block executes?",Else,If,Both,None,If
